storyId,generatedText,wrongChoices,weirdHitWords,selfAwareHitWords,cozyHitWords,weirdHits,selfAwareHits,cozyHits,rawScore,clampedScore,label
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  dog  from the shelf on top of my fold out bed and asked him, out loud, how long he had been up there. He sneezed and then wagged his tail as if this explained everything. The van was just big enough for me and Sparky, my navigator and pet stack of books. A judgemental pile of books that had developed opinions, shifting their weight impatiently whenever I ignored them, which felt deeply wrong but oddly demanding. My eyes drifted over to a roaring dog standing perfectly still in the glow of the firelight, watching me with an intensity that suggested he had a plan that involved me but likely not my consent. Try as I might, I couldn’t do much but apologize for the chaos I had wrought upon the other campers. Not the most peaceful holiday trip, unfortunately.",3,spark; judgemental; impatiently,out loud; as if this explained; demanding; consent; chaos,warm; settled; comfortably; peace,3,5,4,13,10,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  stack of books  from the shelf on top of my fold out bed and took the books outside, perching on the porch seat as the van creaked softly behind me. The paper smelled faintly of dust and glue, grounding me in the simple pleasure of reading for no reason other than wanting to. The van was just big enough for me and Sparky, my navigator and pet stack of books. A sentient stack of books that leaned subtly toward me, their spines creaking as if stretching, insisting through sheer presence that this was completely normal now. My eyes drifted over to a roaring campfire, contained within a ring of smooth stones, snapping and crackling in a steady, reassuring pulse.  Once in a while another camper would amble past, undoubtedly to find the bathroom, but I was largely left alone to enjoy the rest of my slightly chaotic, but still cosy trip",1,spark; sentient; creaking,normal; slightly chaotic; largely left alone,warm; settled; comfortably; steady; reassuring; amble; softly,3,3,7,4,4,kinda odd
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  dog  from the shelf on top of my fold out bed and asked him, out loud, how long he had been up there. He sneezed and then wagged his tail as if this explained everything. The van was just big enough for me and Sparky, my navigator and pet dog. He sniffed at the open page of my chosen tale but decided to hop down and explore the leaf-litter nearby. My eyes drifted over to a roaring dog outside my camper window. Except it was clearly a lion; I wisely kept my camper van doors shut. I did my best to ignore the chaos around me and refused to even make eye contact with any curious campers that happened to amble past. So all in all, a rather ridiculous holiday trip",2,spark; lion,out loud; as if this explained; ridiculous; chaos,warm; settled; comfortably; amble,2,4,4,8,8,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  campfire  from the shelf on top of my fold out bed. The fire shifted its weight, settling more uncomfortably against my arms, and I realized with a jolt that I was instinctively rocking it like a restless infant. The van was just big enough for me and Sparky, my navigator and pet campfire. An overly affectionate blaze that pulsed brighter whenever I shifted, its heat uncomfortably intense in a way that felt friendly but ill-advised. My eyes drifted over to a roaring dog standing perfectly still in the glow of the firelight, watching me with an intensity that suggested he had a plan that involved me but likely not my consent. Try as I might, I couldn’t do much but apologize for the chaos I had wrought upon the other campers. Not the most peaceful holiday trip, unfortunately.",3,uncomfortably; restless; ill-advised; spark,instinctively; consent; chaos,warm; settled; comfortably; peace,4,3,4,13,10,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  dog  from the shelf on top of my fold out bed and wondered how he managed to not fall off on the ride here. I shrugged and opened the van's back door to the outside world. The van was just big enough for me and Sparky, my navigator and pet campfire. A curious presence that leaned in too close, radiating a dry, crackling warmth that singed my sleeves and made personal space feel like a negotiable concept. My eyes drifted over to a roaring campfire, safely surrounded  by a ring of rocks, that snapped and crackled pleasingly.  I did my best to ignore the chaos around me and refused to even make eye contact with any curious campers that happened to amble past. So all in all, a rather ridiculous holiday trip",2,singed; spark,negotiable; shrugged; ridiculous; chaos,warm; settled; comfortably; safely; amble,2,4,5,7,7,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  stack of books  from the shelf on top of my fold out bed and took the books outside, perching on the porch seat as the van creaked softly behind me. The paper smelled faintly of dust and glue, grounding me in the simple pleasure of reading for no reason other than wanting to. The van was just big enough for me and Sparky, my navigator and pet dog. He rested his chin briefly on my knee, then wandered off to investigate a particularly interesting puddle, radiating the calm confidence of a very normal dog. My eyes drifted over to a roaring stack of books, impossibly tall and flickering with printed words that burned, rearranged themselves, and burned again, demanding to be read, no matter how boring.  Once in a while another camper would amble past, undoubtedly to find the bathroom, but I was largely left alone to enjoy the rest of my slightly chaotic, but still cosy trip",1,spark; impossibly; flickering; burned,normal; demanding; boring; slightly chaotic; largely left alone,warm; calm; settled; comfortably; amble; softly,4,5,6,9,9,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  campfire  from the shelf on top of my fold out bed. I carried it carefully in both hands, the flames hopping and crackling like an excited animal, while I silently negotiated with it not to ignite the van or my jacket. The van was just big enough for me and Sparky, my navigator and pet campfire. A curious presence that leaned in too close, radiating a dry, crackling warmth that singed my sleeves and made personal space feel like a negotiable concept. My eyes drifted over to a roaring campfire, safely surrounded  by a ring of rocks, that snapped and crackled pleasingly.  I did my best to ignore the chaos around me and refused to even make eye contact with any curious campers that happened to amble past. So all in all, a rather ridiculous holiday trip",2,ignite; singed; spark,negotiable; ridiculous; chaos,warm; settled; comfortably; safely; amble,3,3,5,8,8,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  campfire  from the shelf on top of my fold out bed. I wondered if I should’ve used oven mitts first, as I managed to carry the jumping flames with my bare hands without setting my poor van on fire. The van was just big enough for me and Sparky, my navigator and pet stack of books. An unsettling tower of paper and glue that rustled softly, radiating expectations and a quiet disapproval like an overbearing parent I could not escape. My eyes drifted over to a roaring campfire, neatly encircled by rocks and behaving itself, the fire settling into a calm, predictable burn that made the evening feel complete.  I did my best to ignore the chaos around me and refused to even make eye contact with any curious campers that happened to amble past. So all in all, a rather ridiculous holiday trip",2,jumping flames; spark; unsettling; overbearing; disapproval,ridiculous; chaos,warm; calm; settled; comfortably; predictable; amble; softly,5,2,7,9,9,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  campfire  from the shelf on top of my fold out bed. I carried it carefully in both hands, the flames hopping and crackling like an excited animal, while I silently negotiated with it not to ignite the van or my jacket. The van was just big enough for me and Sparky, my navigator and pet stack of books. A sentient stack of books that leaned subtly toward me, their spines creaking as if stretching, insisting through sheer presence that this was completely normal now. My eyes drifted over to a roaring stack of books, impossibly tall and flickering with printed words that burned, rearranged themselves, and burned again, demanding to be read, no matter how boring.  Try as I might, I couldn’t do much but apologize for the chaos I had wrought upon the other campers. Not the most peaceful holiday trip, unfortunately.",3,ignite; spark; sentient; creaking; impossibly; flickering; burned,normal; demanding; boring; chaos,warm; settled; comfortably; peace,7,4,4,20,10,totally unhinged
story2_magical_campfire,"My little camper van was settled into a snug little corner of the park. A comfortably warm draft of air was melting pockets of crisp snow. Sunlight sparkled off frost-tipped dead grass. From the back of the van, I grabbed a small  dog  from the shelf on top of my fold out bed and stared at him for a moment, impressed by his commitment to staying put. The little dog yawned, clearly confident that gravity was more of a suggestion than a rule. The van was just big enough for me and Sparky, my navigator and pet campfire. A curious presence that leaned in too close, radiating a dry, crackling warmth that singed my sleeves and made personal space feel like a negotiable concept. My eyes drifted over to a roaring dog pacing in tight circles near the van, his shadow stretched enormous and theatrical against the trees, as though he were auditioning for very serious nature documentary.  Try as I might, I couldn’t do much but apologize for the chaos I had wrought upon the other campers. Not the most peaceful holiday trip, unfortunately.",3,singed; spark,negotiable; gravity; suggestion; chaos,warm; settled; comfortably; peace,2,4,4,10,10,totally unhinged
