storyId,generatedText,wrongChoices,weirdHitWords,selfAwareHitWords,cozyHitWords,weirdHits,selfAwareHits,cozyHits,rawScore,clampedScore,label
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot cup of coffee with a sweet treat. Steam drifted upward in slow spirals, carrying the familiar bitterness with it. I snagged a table by the window and shucked off my donut next to my plate. The smell of glaze followed my fingers, pleasant and faintly ridiculous.  Sitting back, I contentedly took a big bite out of my cup of coffee quite literally. My tooth cracked the porcelain...loudly.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,cracked,loudly; bitter,familiar; steam,1,2,2,6,6,kinda odd
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot donut with a sweet treat. The decision felt unnecessary, but I made it anyway, without much resistance. I snagged a table by the window and shucked off my cup of coffee next to my plate. My fingers carried a bitter but robust sharpness that suggested I had gone too far already.  Sitting back, I contentedly took a big bite out of my donut and savored the soft sweetness as it settled comfortably alongside the coffee.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,,anyway; unnecessary; bitter,comfort; settle; soft; savored,0,3,4,3,3,wholesome
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. The wool steamed as if fresh from the oven, and that just felt wrong. I snagged a table by the window and shucked off my cup of coffee next to my plate. The roasted coffee ground scent clinging to my hands felt less like coffee and more like a lifestyle choice.  Sitting back, I contentedly took a big bite out of my cup of coffee and was rewarded with a sound that drew several concerned glances.  Sweat gathered at my brow while I stared resolutely out the window, feeling the worried gazes of everyone else on the back of my neck. What a ridiculously unhinged day.",3,wrong,lifestyle,steam,1,1,1,8,8,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot cup of coffee with a sweet treat. I wrapped my hands around the cup, letting the heat settle into my palms. I snagged a table by the window and shucked off my cup of coffee next to my plate. The roasted coffee ground scent clinging to my hands felt less like coffee and more like a lifestyle choice.  Sitting back, I contentedly took a big bite out of my cup of coffee and was rewarded with a sound that drew several concerned glances.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,,lifestyle,settle,0,1,1,4,4,kinda odd
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. The wool steamed as if fresh from the oven, and that just felt wrong. I snagged a table by the window and shucked off my donut next to my plate. My defrosting fingers smelled lightly of yeast and glaze, but that made me right at home in this little shop.  Sitting back, I contentedly took a big bite out of my cup of coffee quite literally. My tooth cracked the porcelain...loudly.  Sweat gathered at my brow while I stared resolutely out the window, feeling the worried gazes of everyone else on the back of my neck. What a ridiculously unhinged day.",3,cracked; wrong,loudly,steam,2,1,1,10,10,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot cup of coffee with a sweet treat. The latte swirl melted into the surface while a puff of steam curled on top. I snagged a table by the window and shucked off my mittens next to my plate. Warmth seeped back into my fingers, carrying a faint wooly scent with it.  Sitting back, I contentedly took a big bite out of my mittens and paused, registering the unmistakable resistance of wool.  I absently watched the snowflakes dance outside while a few observable customers in the bakery watched me in confusion. But I see no reason to call this anything but a slightly off but cozy day.",1,,,warm; steam; cozy,0,0,3,-1,0,wholesome
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. Moist heat clung to the mittens, carrying a lanolin smell that made my stomach tighten. I snagged a table by the window and shucked off my cup of coffee next to my plate. The roasted coffee ground smell rising sharply from my hands made me question all my life decisions up to this point.  Sitting back, I contentedly took a big bite out of my cup of coffee with immediate regret as my teeth met something that should not be bitten.  Sweat gathered at my brow while I stared resolutely out the window, feeling the worried gazes of everyone else on the back of my neck. What a ridiculously unhinged day.",3,lanolin; tighten; regret; question,decisions; regret,,4,2,0,16,10,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. Moist heat clung to the mittens, carrying a lanolin smell that made my stomach tighten. I snagged a table by the window and shucked off my mittens next to my plate. Warmth seeped back into my fingers, carrying a faint wooly scent with it.  Sitting back, I contentedly took a big bite out of my cup of coffee before a sharp, unmistakable crunch snapped me fully back to reality.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,lanolin; tighten; crunch,,warm,3,0,1,9,9,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. The damp wool pressed its scent into my fingers, soft and uncomfortably close. I snagged a table by the window and shucked off my mittens next to my plate. My fingers thawed gradually, the quiet comfort of the bakery settling in.  Sitting back, I contentedly took a big bite out of my cup of coffee before a sharp, unmistakable crunch snapped me fully back to reality.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,crunch; uncomfortably,,comfort; settling; soft,2,0,3,5,5,kinda odd
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot donut with a sweet treat. The redundancy was not lost on me, but I'm an adult and can get two treats if I want. I snagged a table by the window and shucked off my cup of coffee next to my plate. The roasted coffee ground smell rising sharply from my hands made me question all my life decisions up to this point.  Sitting back, I contentedly took a big bite out of my donut and felt the sweetness soften the sharp edge of the caffeine already there.  I watched the snowflakes dance outside while I, and likely everyone now staring at me, wondered at my own actions. What an incredibly odd day.",2,question,redundancy; decisions,soft,1,2,1,7,7,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot mittens with a sweet treat. The wool steamed as if fresh from the oven, and that just felt wrong. I snagged a table by the window and shucked off my cup of coffee next to my plate. The roasted coffee ground smell rising sharply from my hands made me question all my life decisions up to this point.  Sitting back, I contentedly took a big bite out of my mittens and realized too late that the texture was deeply incorrect.  Sweat gathered at my brow while I stared resolutely out the window, feeling the worried gazes of everyone else on the back of my neck. What a ridiculously unhinged day.",3,wrong; question,decisions; incorrect,steam,2,2,1,11,10,totally unhinged
story1_baked_mittens,"White flakes swirled around in the landscape behind me, accumulating in the corners of the bakery window, as I ordered a hot donut with a sweet treat. The decision felt unnecessary, but I made it anyway, without much resistance. I snagged a table by the window and shucked off my donut next to my plate. The smell of glaze followed my fingers, pleasant and faintly ridiculous.  Sitting back, I contentedly took a big bite out of my mittens and realized too late that the texture was deeply incorrect.  Sweat gathered at my brow while I stared resolutely out the window, feeling the worried gazes of everyone else on the back of my neck. What a ridiculously unhinged day.",3,,anyway; unnecessary; incorrect,,0,3,0,9,9,totally unhinged
